prompt_id,category,type,title,model_name,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.6,1,True,True,60000,1,1,1,1,1014,1264,2278,1783,4583,6366,4.80719,728,0.44855,0.6009,4.77495,3951,0.29419,0.59687
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.6,2,True,True,60000,1,1,1,1,1176,3402,4578,1381,12576,13957,4.89195,728,0.4083,0.61149,4.89229,1782,0.38883,0.61154
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.6,3,True,True,60000,1,1,1,1,1239,3229,4468,1123,11875,12998,4.79401,601,0.43519,0.59925,4.79947,4001,0.31815,0.59993
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.6,4,True,True,60000,1,1,1,1,1114,3637,4751,1623,13430,15053,4.90066,564,0.50223,0.61258,4.83751,3702,0.31175,0.60469
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.6,5,True,True,60000,1,1,1,1,924,1387,2311,1429,5233,6662,4.76146,582,0.40728,0.59518,4.81673,1908,0.36461,0.60209
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.3,1,True,True,60000,1,1,1,1,932,1984,2916,1468,7261,8729,4.88673,674,0.45913,0.61084,4.9275,2558,0.35229,0.61594
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.3,2,True,True,60000,1,1,1,1,1014,1201,2215,2021,4378,6399,4.78727,729,0.36071,0.59841,4.8214,1634,0.37323,0.60267
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.3,3,True,True,60000,1,1,1,1,729,1481,2210,1230,5430,6660,4.85854,572,0.46504,0.60732,4.82479,1932,0.3558,0.6031
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.3,4,True,True,60000,1,1,1,1,1310,1942,3252,2040,7035,9075,4.86729,797,0.39069,0.60841,4.92675,2477,0.3521,0.61584
AIME2023II_P1_mod,AIME2023mod,Math,apple trees modified,ds-r1-0528-t0.3,5,True,True,60000,1,1,1,1,1273,1454,2727,2631,5300,7931,4.84947,929,0.3531,0.60618,4.8666,1880,0.35472,0.60833
